Table 1,district,name,date,ver,link
170,中西,張啟昕女士,2016-02-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20160225.pdf
171,中西,張啟昕女士,2016-02-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20160225_text.pdf
172,中西,張啟昕女士,2016-06-23,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20160623.pdf
173,中西,張啟昕女士,2016-06-23,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20160623_text.pdf
174,中西,張啟昕女士,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20180201.pdf
175,中西,張啟昕女士,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1015/cheung_kai_yin_20180201_text.pdf
176,中西,周錦輝先生,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1278/chow_kam_fai_20180201.pdf
177,中西,周錦輝先生,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1278/chow_kam_fai_20180201_text.pdf
178,中西,鍾紹瓊女士,2018-02-02,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1287/chung_siu_king_20180202.pdf
179,中西,鍾紹瓊女士,2018-02-02,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1287/chung_siu_king_20180202_text.pdf
180,中西,馮家亮先生,2018-02-05,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1353/fung_kar_leung_20180205.pdf
181,中西,馮家亮先生,2018-02-05,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1353/fung_kar_leung_20180205_text.pdf
182,中西,何致宏先生,2016-02-23,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20160223.pdf
183,中西,何致宏先生,2016-02-23,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20160223_text.pdf
184,中西,何致宏先生,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20180201.pdf
185,中西,何致宏先生,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20180201_text.pdf
186,中西,何致宏先生,2018-12-13,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20181213.pdf
187,中西,何致宏先生,2018-12-13,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1022/ho_chi_wong_20181213_text.pdf
188,中西,劉天正先生,2018-02-06,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1288/lau_tin_ching_timothy_20180206.pdf
189,中西,劉天正先生,2018-02-06,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1288/lau_tin_ching_timothy_20180206_text.pdf
190,中西,劉天正先生,2018-10-28,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1288/lau_tin_ching_timothy_20181028.pdf
191,中西,劉天正先生,2018-10-28,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1288/lau_tin_ching_timothy_20181028_text.pdf
192,中西,李澄幸先生,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1275/lee_ching_hang_20180201.pdf
193,中西,李澄幸先生,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1275/lee_ching_hang_20180201_text.pdf
194,中西,李文陞先生,2016-02-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1018/lee_man_sing_20160225.pdf
195,中西,李文陞先生,2016-02-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1018/lee_man_sing_20160225_text.pdf
196,中西,李文陞先生,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1018/lee_man_sing_20180201.pdf
197,中西,李文陞先生,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1018/lee_man_sing_20180201_text.pdf
198,中西,李偉強先生,2016-02-29,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1023/lee_wai_keung_20160229.pdf
199,中西,李偉強先生,2016-02-29,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1023/lee_wai_keung_20160229_text.pdf
200,中西,李偉強先生,2018-02-09,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1023/lee_wai_keung_20180209.pdf
201,中西,李偉強先生,2018-02-09,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1023/lee_wai_keung_20180209_text.pdf
202,中西,呂鴻賓先生,2018-02-02,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1277/lui_hung_pan_20180202.pdf
203,中西,呂鴻賓先生,2018-02-02,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1277/lui_hung_pan_20180202_text.pdf
204,中西,莫淦森先生,2018-08-10,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1364/mok_kam_sum_20180810.pdf
205,中西,莫淦森先生,2018-08-10,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1364/mok_kam_sum_20180810_text.pdf
206,中西,"吳永恩先生, MH",2016-02-28,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1026/ng_wing_yan_20160228.pdf
207,中西,"吳永恩先生, MH",2016-02-28,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1026/ng_wing_yan_20160228_text.pdf
208,中西,"吳永恩先生, MH",2018-02-13,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1026/ng_wing_yan_20180213.pdf
209,中西,"吳永恩先生, MH",2018-02-13,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1026/ng_wing_yan_20180213_text.pdf
210,中西,岑智行先生,2016-02-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1016/sham_chi_hang_christopher_20160225.pdf
211,中西,岑智行先生,2016-02-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1016/sham_chi_hang_christopher_20160225_text.pdf
212,中西,岑智行先生,2018-02-09,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1016/sham_chi_hang_christopher_20180209.pdf
213,中西,岑智行先生,2018-02-09,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1016/sham_chi_hang_christopher_20180209_text.pdf
214,中西,施永泰先生,2018-02-02,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1276/shih_jan_noel_20180202.pdf
215,中西,施永泰先生,2018-02-02,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1276/shih_jan_noel_20180202_text.pdf
216,中西,施永泰先生,2018-11-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1276/shih_jan_noel_20181101.pdf
217,中西,施永泰先生,2018-11-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1276/shih_jan_noel_20181101_text.pdf
218,中西,黃健菁女士,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1279/wong_kin_ching_20180201.pdf
219,中西,黃健菁女士,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1279/wong_kin_ching_20180201_text.pdf
220,中西,黃美卿女士,2018-02-01,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1280/wong_mi_hing_shirley_20180201.pdf
221,中西,黃美卿女士,2018-02-01,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1280/wong_mi_hing_shirley_20180201_text.pdf
